# June 2018
# Blast hits and expectation values
# seq_id    start-end e_val
seq_id start_end exp_val
FJ609102 40-1055 2.79e-101
FJ609094 40-1055 2.79e-101
FJ609088 40-1055 2.79e-101
FJ609082 40-1055 2.79e-101
FJ609070 40-1055 2.79e-101
FJ609068 40-1055 2.79e-101
FJ609062 40-1055 2.79e-101
FJ609053 40-1055 2.79e-101
FJ609051 40-1055 2.79e-101
FJ609043 40-1055 2.79e-101
FJ609042 40-1055 2.79e-101
FJ609041 40-1055 2.79e-101
FJ609029 40-1055 2.79e-101
FJ609027 40-1055 2.79e-101
FJ609020 40-1055 2.79e-101
FJ609019 40-1055 2.79e-101
FJ609018 40-1055 2.79e-101
FJ609017 40-1055 2.79e-101
FJ609012 40-1055 2.79e-101
FJ609001 40-1055 2.79e-101
DQ080288 68-1055 2.79e-101
KY400011 14449-15436 1.01e-100
KP259550 15314-16301 1.01e-100
JN086153 14449-15436 1.01e-100
JN086150 14448-15435 1.01e-100
GU256523 14448-15435 1.01e-100
DQ080281 68-1055 1.01e-100
DQ080271 68-1055 1.01e-100
DQ497903 68-1055 1.01e-100
DQ497901 68-1055 1.01e-100
EF392629 68-1055 1.01e-100
AY302574 14447-15434 1.01e-100
AB097669 15312-16299 1.01e-100
X81563 68-1055 1.01e-100
MF040580 1-1077 3.61e-100
KX670381 14379-15455 3.61e-100
KF929320 1-1096 3.61e-100
AY208536 76-1080 3.61e-100
JN315601 49-1052 1.30e-99
JN601282 40-1055 1.30e-99
JN601269 40-1055 1.30e-99
JN601263 40-1055 1.30e-99
JN601258 40-1055 1.30e-99
JN601245 40-1055 1.30e-99
JN601241 40-1055 1.30e-99
JN601217 40-1055 1.30e-99
JN601215 40-1055 1.30e-99
JN601197 40-1055 1.30e-99
FJ609128 40-1055 1.30e-99
FJ609118 40-1055 1.30e-99
FJ609112 40-1055 1.30e-99
FJ609110 40-1055 1.30e-99
FJ609109 40-1055 1.30e-99
FJ609081 40-1055 1.30e-99
FJ609058 40-1055 1.30e-99
FJ609054 40-1055 1.30e-99
FJ609038 40-1055 1.30e-99
FJ609028 40-1055 1.30e-99
FJ609002 40-1055 1.30e-99
AF381260 48-1039 1.30e-99
LC215236 49-1039 4.68e-99
KP669099 68-1055 4.68e-99
KM588080 14449-15436 4.68e-99
DQ080287 68-1055 4.68e-99
DQ080285 68-1055 4.68e-99
DQ080266 68-1055 4.68e-99
DQ497902 68-1055 4.68e-99
DQ497900 68-1055 4.68e-99
DQ497898 68-1055 4.68e-99
KF193873 14367-15462 1.68e-98
EU552614 47-1042 1.68e-98
MG958214 25-1076 6.05e-98
JN601210 40-1055 6.05e-98
JN545075 1-803 6.05e-98
JN545074 1-803 6.05e-98
FJ609036 40-1055 6.05e-98
FJ609005 40-1055 6.05e-98
AY116354 1-1061 6.05e-98
LC215231 17-1007 2.18e-97
LC215227 27-1017 2.18e-97
LC215221 27-1017 2.18e-97
KF486467 112-959 2.18e-97
JN575301 1-1036 2.18e-97
DQ080276 68-1055 2.18e-97
KJ509583 1-1062 7.82e-97
KJ509577 1-1062 7.82e-97
LC215211 49-932 2.81e-96
KM035919 40-1037 2.81e-96
KF574597 1-1082 2.81e-96
KJ713922 39-1036 2.81e-96
AP012143 14388-15469 2.81e-96
KF445187 31-827 2.81e-96
KF415628 1-1061 2.81e-96
JN545078 1-803 2.81e-96
JN545073 1-803 2.81e-96
JQ231113 15314-16395 2.81e-96
JF742825 49-932 2.81e-96
AB560898 15-1096 2.81e-96
AB550705 63-946 2.81e-96
FJ609130 40-1055 2.81e-96
LC215238 49-1039 1.01e-95
LC215237 49-1039 1.01e-95
LC215235 27-1017 1.01e-95
LC215233 27-1017 1.01e-95
LC215230 49-1039 1.01e-95
LC215224 27-1017 1.01e-95
LC215220 27-1017 1.01e-95
LC215217 49-1039 1.01e-95
LC215160 49-1039 1.01e-95
LC208773 14438-15428 1.01e-95
KM035923 1-1039 1.01e-95
AP009618 14423-15467 1.01e-95
AB550692 63-1053 1.01e-95
AB550687 63-1053 1.01e-95
KJ158094 16-1068 3.64e-95
KJ509561 4-1065 3.64e-95
AY833359 1-1029 3.64e-95
AY833348 1-1029 3.64e-95
MH031905 55-866 1.31e-94
MH031902 55-860 1.31e-94
MH031901 55-860 1.31e-94
MH031900 55-860 1.31e-94
MH031898 55-860 1.31e-94
KX512722 13-905 1.31e-94
LC215232 27-1015 1.31e-94
LC215215 49-932 1.31e-94
KM035907 40-1046 1.31e-94
KJ510416 14447-15438 1.31e-94
KF445185 22-827 1.31e-94
KF445184 22-827 1.31e-94
KF445183 22-827 1.31e-94
KF415499 55-1085 1.31e-94
KC736410 25-1037 1.31e-94
JQ681884 46-1043 1.31e-94
JN545077 1-803 1.31e-94
JN545076 1-803 1.31e-94
AP011919 14410-15407 1.31e-94
AB570198 63-946 1.31e-94
EU444666 48-1066 1.31e-94
EU444655 48-1066 1.31e-94
EU444653 48-1066 1.31e-94
EU444639 48-1066 1.31e-94
EU444638 48-1066 1.31e-94
EU444629 48-1066 1.31e-94
EU444623 48-1066 1.31e-94
EU444622 48-1066 1.31e-94
AB373007 14481-15469 1.31e-94
DQ464115 54-859 1.31e-94
AY116350 58-1037 1.31e-94
AY115983 49-1079 1.31e-94
MF326939 14376-15471 4.71e-94
LC215242 49-1039 4.71e-94
LC215234 45-1017 4.71e-94
LC215205 49-1039 4.71e-94
LC215204 49-1039 4.71e-94
LC215199 49-1039 4.71e-94
LC215156 49-1039 4.71e-94
LC215151 20-1010 4.71e-94
KM035908 40-1039 4.71e-94
AB688897 49-1039 4.71e-94
AB688891 49-1039 4.71e-94
AB688866 49-1039 4.71e-94
AB688842 49-1039 4.71e-94
JN575317 3-1035 4.71e-94
AB550688 63-1053 4.71e-94
KT896534 14439-15530 1.69e-93
KP722644 39-1046 1.69e-93
KP072053 14414-15514 1.69e-93
KJ509576 4-1065 1.69e-93
KJ509572 4-1065 1.69e-93
KF929331 48-1061 1.69e-93
HE608230 55-873 1.69e-93
HQ676734 17-1042 1.69e-93
FJ459173 58-873 1.69e-93
AY491978 14465-15491 1.69e-93
MH031904 55-860 6.09e-93
MH031897 55-866 6.09e-93
MF927496 14379-15460 6.09e-93
LC215240 49-1037 6.09e-93
LC215229 27-1015 6.09e-93
LC215222 27-1015 6.09e-93
LC215218 49-932 6.09e-93
LC215216 49-932 6.09e-93
LC215214 49-932 6.09e-93
LC215213 49-932 6.09e-93
LC215212 49-932 6.09e-93
LC215210 49-932 6.09e-93
LC215207 16-899 6.09e-93
LC215203 49-932 6.09e-93
LC215201 49-932 6.09e-93
LC215195 49-932 6.09e-93
LC215194 49-932 6.09e-93
LC215192 49-932 6.09e-93
KF574601 1-1082 6.09e-93
KF574598 1-1082 6.09e-93
KJ696865 77-1074 6.09e-93
KJ696855 77-1074 6.09e-93
KJ713943 39-1036 6.09e-93
KJ713926 39-1036 6.09e-93
KJ713905 39-1036 6.09e-93
KF445186 28-827 6.09e-93
AB688885 49-1039 6.09e-93
AB688854 49-1037 6.09e-93
AB550702 63-946 6.09e-93
AB550700 63-946 6.09e-93
AB550696 63-946 6.09e-93
AB550695 63-946 6.09e-93
AB550690 63-946 6.09e-93
AB550680 63-946 6.09e-93
AB550674 63-946 6.09e-93
AB550671 63-946 6.09e-93
FJ459242 68-873 6.09e-93
FJ459208 68-873 6.09e-93
FJ459204 32-837 6.09e-93
FJ459199 68-873 6.09e-93
FJ459198 68-873 6.09e-93
FJ459197 68-873 6.09e-93
FJ459194 34-839 6.09e-93
FJ459185 68-873 6.09e-93
FJ459166 68-873 6.09e-93
FJ459161 68-873 6.09e-93
FJ459158 68-873 6.09e-93
FJ459157 49-854 6.09e-93
AB473212 63-946 6.09e-93
EU444657 48-1066 6.09e-93
EU444656 48-1066 6.09e-93
EU444647 48-1066 6.09e-93
EU444646 48-1066 6.09e-93
EU444643 48-1066 6.09e-93
EU444642 48-1066 6.09e-93
EU444637 48-1066 6.09e-93
EU444621 48-1066 6.09e-93
EU444620 48-1066 6.09e-93
EU444616 48-1066 6.09e-93
EU444615 48-1066 6.09e-93
DQ630649 60-1057 6.09e-93
DQ231128 60-1039 6.09e-93
DQ231126 60-1039 6.09e-93
AF201581 60-1057 6.09e-93
LC215177 49-1039 2.19e-92
LC215171 11-1001 2.19e-92
LC215146 49-1039 2.19e-92
LC215145 49-1039 2.19e-92
LC215140 49-1039 2.19e-92
KM035916 40-1039 2.19e-92
KF415498 53-1085 2.19e-92
AB688865 49-1039 2.19e-92
AB688861 49-1039 2.19e-92
AB688832 49-1039 2.19e-92
AB688828 49-1039 2.19e-92
AB688823 49-1039 2.19e-92
AB550703 63-1053 2.19e-92
AB550691 63-1053 2.19e-92
EU836699 10-1066 2.19e-92
EF017549 75-1086 2.19e-92
AF549105 1-1030 2.19e-92
DQ239169 53-857 2.19e-92
MG958220 36-1043 7.88e-92
KY964441 14432-15439 7.88e-92
LC215241 49-1037 7.88e-92
AB928046 3-1031 7.88e-92
AB928045 3-1031 7.88e-92
AB928043 3-1031 7.88e-92
AB928041 3-1031 7.88e-92
KJ158078 40-1047 7.88e-92
KC736382 25-1050 7.88e-92
HQ676732 1-1059 7.88e-92
AB688883 49-933 7.88e-92
AB688856 49-933 7.88e-92
JQ282021 25-1050 7.88e-92
JN575305 3-986 7.88e-92
DQ198009 1-1077 7.88e-92
DQ678481 55-1081 7.88e-92
AY833330 1-1029 7.88e-92
MH031899 55-860 2.83e-91
LC215239 49-1037 2.83e-91
LC215228 27-1015 2.83e-91
LC215226 27-1015 2.83e-91
LC215225 27-1015 2.83e-91
LC215219 49-932 2.83e-91
LC215209 49-932 2.83e-91
LC215206 49-932 2.83e-91
LC215193 49-932 2.83e-91
KJ713957 39-1036 2.83e-91
KJ713946 39-1036 2.83e-91
KJ713945 39-1036 2.83e-91
KJ713908 39-1036 2.83e-91
KJ510417 14447-15438 2.83e-91
KJ149811 14418-15421 2.83e-91
JN315581 49-1052 2.83e-91
KF415662 1-1037 2.83e-91
AB688848 49-1052 2.83e-91
JN812408 70-860 2.83e-91
AB570197 63-946 2.83e-91
AB550706 63-946 2.83e-91
AB550698 63-946 2.83e-91
AB550697 63-898 2.83e-91
AB550689 63-946 2.83e-91
AB550675 63-946 2.83e-91
AB550673 63-946 2.83e-91
AB550670 63-946 2.83e-91
FJ459233 68-873 2.83e-91
FJ459177 68-873 2.83e-91
FJ459222 68-873 2.83e-91
FJ459223 68-873 2.83e-91
FJ459215 68-873 2.83e-91
FJ459212 68-873 2.83e-91
FJ459187 68-873 2.83e-91
FJ459189 68-873 2.83e-91
FJ459186 68-873 2.83e-91
FJ459184 68-873 2.83e-91
FJ459178 68-873 2.83e-91
FJ459182 34-839 2.83e-91
FJ459181 68-873 2.83e-91
FJ459179 38-843 2.83e-91
FJ459176 68-873 2.83e-91
FJ459171 68-873 2.83e-91
FJ459170 68-873 2.83e-91
FJ459169 68-873 2.83e-91
FJ459167 68-873 2.83e-91
FJ459165 68-873 2.83e-91
FJ459156 68-873 2.83e-91
AB473213 63-946 2.83e-91
EU444654 48-1066 2.83e-91
EU444652 48-1066 2.83e-91
EU444645 48-1066 2.83e-91
EU444644 48-1066 2.83e-91
EU444641 48-1066 2.83e-91
EU444640 48-1066 2.83e-91
EU444635 48-1066 2.83e-91
EU444624 48-1066 2.83e-91
EU444617 48-1066 2.83e-91
EU444614 48-1066 2.83e-91
DQ630648 60-1057 2.83e-91
DQ231129 60-1039 2.83e-91
DQ231124 60-1039 2.83e-91
DQ231121 60-1039 2.83e-91
DQ231117 60-1039 2.83e-91
AY846399 1-1079 2.83e-91
LC215184 49-1039 1.02e-90
LC215180 49-1039 1.02e-90
LC215178 49-1039 1.02e-90
LC215176 49-1039 1.02e-90
LC215174 49-1039 1.02e-90
LC215173 49-1039 1.02e-90
LC215170 49-1039 1.02e-90
LC215164 49-1039 1.02e-90
LC215153 49-1039 1.02e-90
LC215152 49-1039 1.02e-90
LC215148 49-1039 1.02e-90
AP014761 14403-15441 1.02e-90
KM035926 40-1039 1.02e-90
KM035925 40-1039 1.02e-90
AB688914 49-1039 1.02e-90
AB688913 49-1039 1.02e-90
AB688907 49-1039 1.02e-90
AB688902 49-1039 1.02e-90
AB688896 49-1039 1.02e-90
AB688887 49-1039 1.02e-90
AB688884 49-1039 1.02e-90
AB688878 49-1039 1.02e-90
AB688877 49-1039 1.02e-90
AB688876 49-1039 1.02e-90
AB688872 49-1039 1.02e-90
AB688869 49-1039 1.02e-90
AB688860 49-1039 1.02e-90
AB688849 49-1039 1.02e-90
AB688843 49-1039 1.02e-90
AB688840 49-1039 1.02e-90
AB688835 49-1039 1.02e-90
AB688834 49-1039 1.02e-90
AB688830 49-1039 1.02e-90
AB688824 49-1039 1.02e-90
AB688820 49-1039 1.02e-90
AB688819 49-1039 1.02e-90
AB550694 63-1053 1.02e-90
AY833356 1-1029 1.02e-90
KT358172 30-1064 3.67e-90
AB928040 3-1031 3.67e-90
AB928039 3-1031 3.67e-90
AB928034 3-1031 3.67e-90
AB928028 3-1031 3.67e-90
AB928025 3-1031 3.67e-90
KM675178 10-1026 3.67e-90
KJ713921 39-1071 3.67e-90
AB684954 3-1031 3.67e-90
AB684850 3-1031 3.67e-90
AB684846 3-1031 3.67e-90
AB688875 49-933 3.67e-90
AB688831 49-933 3.67e-90
AB688829 49-933 3.67e-90
EF439501 48-1055 3.67e-90
LC215223 27-1015 1.32e-89
LC215198 49-932 1.32e-89
LC215197 49-932 1.32e-89
LC215191 49-932 1.32e-89
LC215139 49-932 1.32e-89
AP014757 14403-15441 1.32e-89
AP014754 14403-15441 1.32e-89
AP011179 14414-15411 1.32e-89
LC055190 14438-15321 1.32e-89
KJ509567 4-896 1.32e-89
KJ713928 39-1036 1.32e-89
JN315582 49-1052 1.32e-89
JX066769 40-1037 1.32e-89
HM049942 40-1061 1.32e-89
AB570202 63-946 1.32e-89
AB570201 63-946 1.32e-89
AB570200 63-946 1.32e-89
AB570196 63-946 1.32e-89
AB550704 63-946 1.32e-89
AB550699 63-946 1.32e-89
AB550686 63-946 1.32e-89
AB550685 63-946 1.32e-89
AB550681 63-946 1.32e-89
AB550678 63-946 1.32e-89
AB550677 63-946 1.32e-89
AB550676 63-946 1.32e-89
FJ459240 68-873 1.32e-89
FJ459232 68-873 1.32e-89
FJ459236 68-873 1.32e-89
FJ459231 68-873 1.32e-89
FJ459175 68-873 1.32e-89
FJ459174 68-873 1.32e-89
FJ459164 68-873 1.32e-89
FJ459150 68-873 1.32e-89
FJ459151 68-873 1.32e-89
FJ459149 68-873 1.32e-89
AB470305 14446-15437 1.32e-89
EU380948 22-1052 1.32e-89
EU444648 48-1066 1.32e-89
DQ231122 60-1039 1.32e-89
DQ231120 60-1039 1.32e-89
DQ231118 60-1039 1.32e-89
AF549117 1-1001 1.32e-89
AB054134 14507-15501 1.32e-89
AY846398 1-1079 1.32e-89
LC215183 49-1039 4.74e-89
LC215175 49-1039 4.74e-89
LC215167 49-1039 4.74e-89
LC215162 49-1039 4.74e-89
LC215159 21-1011 4.74e-89
LC215157 49-1039 4.74e-89
LC215154 49-1039 4.74e-89
LC215149 49-1039 4.74e-89
LC215142 49-1039 4.74e-89
LC215141 49-1039 4.74e-89
KY382574 16-1030 4.74e-89
AP014762 14403-15441 4.74e-89
AP011448 14462-15425 4.74e-89
KM035928 40-1039 4.74e-89
KM035914 40-1039 4.74e-89
KM035909 40-1039 4.74e-89
KJ696866 97-1108 4.74e-89
KJ696825 108-1056 4.74e-89
AB741989 68-872 4.74e-89
AB688915 49-1039 4.74e-89
AB688912 49-1039 4.74e-89
AB688910 49-1039 4.74e-89
AB688908 49-1039 4.74e-89
AB688906 49-1039 4.74e-89
AB688901 49-1039 4.74e-89
AB688898 49-1039 4.74e-89
AB688894 49-1039 4.74e-89
AB688893 49-1039 4.74e-89
AB688892 49-1039 4.74e-89
AB688886 49-1039 4.74e-89
AB688879 49-1039 4.74e-89
AB688870 49-1039 4.74e-89
AB688868 49-1039 4.74e-89
AB688859 49-1039 4.74e-89
AB688855 49-1039 4.74e-89
AB688847 49-1039 4.74e-89
AB688846 49-1039 4.74e-89
AB688844 49-1039 4.74e-89
AB688841 49-1039 4.74e-89
AB688838 49-1039 4.74e-89
AB688833 49-1039 4.74e-89
AB688826 49-1039 4.74e-89
AB688825 49-1039 4.74e-89
AB688822 49-1039 4.74e-89
AB688821 49-1039 4.74e-89
AB688818 49-1039 4.74e-89
AB688817 49-1039 4.74e-89
AB688816 49-1039 4.74e-89
AP011920 14421-15225 4.74e-89
HM536809 76-1039 4.74e-89
AB473209 63-1053 4.74e-89
AB473211 63-1053 4.74e-89
LC215147 49-933 1.71e-88
KT358181 30-1064 1.71e-88
KT358178 30-1064 1.71e-88
KT358175 30-1064 1.71e-88
KT358171 30-1064 1.71e-88
KT358169 30-1064 1.71e-88
KT358168 30-1064 1.71e-88
KT358162 30-1064 1.71e-88
KT358144 30-1064 1.71e-88
KT358143 30-1064 1.71e-88
KT358142 30-1064 1.71e-88
KT358141 30-1064 1.71e-88
KT358133 30-1064 1.71e-88
KT358127 30-1064 1.71e-88
KT358126 30-1064 1.71e-88
KT358118 30-1064 1.71e-88
KT358116 30-1064 1.71e-88
KT358115 30-1064 1.71e-88
KT358112 30-1064 1.71e-88
KT358109 30-1064 1.71e-88
KT358108 30-1064 1.71e-88
KT358101 30-1064 1.71e-88
KT358100 30-1064 1.71e-88
KT358098 30-1064 1.71e-88
KT358096 30-1064 1.71e-88
KT358091 30-1064 1.71e-88
KT358085 30-1064 1.71e-88
KT358083 30-1064 1.71e-88
LC006297 14437-15321 1.71e-88
AB928048 3-1031 1.71e-88
AB928038 3-1031 1.71e-88
AB928036 3-1031 1.71e-88
AB928035 3-1031 1.71e-88
KM675206 10-1026 1.71e-88
KM675205 10-1026 1.71e-88
KM675204 10-1026 1.71e-88
AB684849 3-1031 1.71e-88
AB684848 3-1031 1.71e-88
AB684847 3-1031 1.71e-88
AB688881 49-933 1.71e-88
GU209553 44-1018 1.71e-88
GQ853909 1-1019 1.71e-88
EU380954 15-1049 1.71e-88
EF455988 48-1037 1.71e-88
EF439502 48-1055 1.71e-88
AF549116 1-1001 1.71e-88
AF090751 47-1094 1.71e-88
LC215208 44-927 6.14e-88
LC215200 49-932 6.14e-88
LC215190 49-932 6.14e-88
KY382629 6-1030 6.14e-88
AP014760 14403-15441 6.14e-88
